
Nom de l'image                 PID Nom de la sessio NumÇro de s Utilisation  êtat            Nom d'utilisateur                                  Temps proces Titre de la fenàtre                                                     
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
svchost.exe                   3620 Services                   0     2ˇ040 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:36 N/A                                                                     
svchost.exe                   3652 Services                   0     3ˇ376 Ko Unknown         AUTORITE NT\SERVICE RêSEAU                              0:00:33 N/A                                                                     
svchost.exe                   2956 Services                   0     1ˇ264 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:05 N/A                                                                     
unsecapp.exe                  4496 Services                   0     2ˇ200 Ko Unknown         AUTORITE NT\Systäme                                     0:00:06 N/A                                                                     
svchost.exe                   4540 Services                   0       464 Ko Unknown         AUTORITE NT\Systäme                                     0:00:06 N/A                                                                     
svchost.exe                   4644 Services                   0     1ˇ840 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:27 N/A                                                                     
svchost.exe                   4716 Services                   0       516 Ko Unknown         AUTORITE NT\Systäme                                     0:00:04 N/A                                                                     
svchost.exe                   4732 Services                   0    10ˇ532 Ko Unknown         AUTORITE NT\SERVICE RêSEAU                              0:09:39 N/A                                                                     
WmiPrvSE.exe                  5052 Services                   0       184 Ko Unknown         AUTORITE NT\Systäme                                     0:00:33 N/A                                                                     
svchost.exe                   4292 Services                   0     3ˇ832 Ko Unknown         AUTORITE NT\Systäme                                     0:02:08 N/A                                                                     
svchost.exe                   4276 Services                   0     1ˇ096 Ko Unknown         AUTORITE NT\Systäme                                     0:00:32 N/A                                                                     
HotkeyServiceDSU.exe          5312 Services                   0       160 Ko Unknown         AUTORITE NT\Systäme                                     0:00:02 N/A                                                                     
svchost.exe                   5372 Services                   0       440 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
svchost.exe                   5524 Services                   0     2ˇ324 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:05 N/A                                                                     
svchost.exe                   5584 Services                   0     3ˇ800 Ko Unknown         AUTORITE NT\Systäme                                     0:00:46 N/A                                                                     
svchost.exe                   5612 Services                   0       528 Ko Unknown         AUTORITE NT\Systäme                                     0:00:06 N/A                                                                     
spoolsv.exe                   5660 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:03 N/A                                                                     
svchost.exe                   5744 Services                   0       472 Ko Unknown         AUTORITE NT\SERVICE RêSEAU                              0:00:04 N/A                                                                     
svchost.exe                   5864 Services                   0    17ˇ640 Ko Unknown         AUTORITE NT\Systäme                                     0:08:49 N/A                                                                     
AnyDesk.exe                   5872 Services                   0     4ˇ016 Ko Unknown         AUTORITE NT\Systäme                                     0:00:13 N/A                                                                     
Everything.exe                5880 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:00 N/A                                                                     
MemfilesService.exe           5896 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:01 N/A                                                                     
jhi_service.exe               5908 Services                   0        20 Ko Unknown         AUTORITE NT\Systäme                                     0:00:00 N/A                                                                     
svchost.exe                   5920 Services                   0       476 Ko Unknown         AUTORITE NT\SERVICE LOCAL                               0:00:02 N/A                                                                     
XtuService.exe                5928 Services                   0     2ˇ992 Ko Unknown         AUTORITE NT\Systäme                                     0:00:09 N/A                                                                     
svchost.exe                   5952 Services                   0     6ˇ020 Ko Unknown         AUTORITE NT\Systäme                                     0:00:10 N/A                                                                     
